district_id,district_name,state_name
584,Jagtial,Telangana
505,Jaipur I,Rajasthan
506,Jaipur II,Rajasthan
527,Jaisalmer,Rajasthan
460,Jajpur,Odisha
492,Jalandhar,Punjab
659,Jalaun,Uttar Pradesh
390,Jalgaon,Maharashtra
396,Jalna,Maharashtra
533,Jalore,Rajasthan
722,Jalpaiguri,West Bengal
230,Jammu,Jammu and Kashmir
169,Jamnagar,Gujarat
773,Jamnagar Corporation,Gujarat
259,Jamtara,Jharkhand
107,Jamui,Bihar
585,Jangaon,Telangana
121,Janjgir-Champa,Chhattisgarh
122,Jashpur,Chhattisgarh
660,Jaunpur,Uttar Pradesh
586,Jayashankar Bhupalpally,Telangana
91,Jehanabad,Bihar
340,Jhabua,Madhya Pradesh
189,Jhajjar,Haryana
515,Jhalawar,Rajasthan
661,Jhansi,Uttar Pradesh
723,Jhargram,West Bengal
474,Jharsuguda,Odisha
510,Jhunjhunu,Rajasthan
204,Jind,Haryana
410,Jiribam,Manipur
502,Jodhpur,Rajasthan
587,Jogulamba Gadwal,Telangana
54,Jorhat,Assam
178,Junagadh,Gujarat
774,Junagadh Corporation,Gujarat
80,Kaimur,Bihar
190,Kaithal,Haryana
413,Kakching,Manipur
464,Kalahandi,Odisha
724,Kalimpong,West Bengal
552,Kallakurichi,Tamil Nadu
588,Kamareddy,Telangana
409,Kamjong,Manipur
24,Kamle,Arunachal Pradesh
49,Kamrup Metropolitan,Assam
50,Kamrup Rural,Assam
557,Kanchipuram,Tamil Nadu
450,Kandhamal,Odisha
408,Kangpokpi,Manipur
213,Kangra,Himachal Pradesh
123,Kanker,Chhattisgarh
662,Kannauj,Uttar Pradesh
297,Kannur,Kerala
663,Kanpur Dehat,Uttar Pradesh
664,Kanpur Nagar,Uttar Pradesh
544,Kanyakumari,Tamil Nadu
479,Kapurthala,Punjab
476,Karaikal,Puducherry
525,Karauli,Rajasthan
51,Karbi-Anglong,Assam
309,Kargil,Ladakh
69,Karimganj,Assam
589,Karimnagar,Telangana
203,Karnal,Haryana
559,Karur,Tamil Nadu
295,Kasaragod,Kerala
665,Kasganj,Uttar Pradesh
234,Kathua,Jammu and Kashmir
75,Katihar,Bihar
353,Katni,Madhya Pradesh
666,Kaushambi,Uttar Pradesh
135,Kawardha,Chhattisgarh
461,Kendrapara,Odisha
455,Kendujhar,Odisha
101,Khagaria,Bihar
590,Khammam,Telangana
339,Khandwa,Madhya Pradesh
344,Khargone,Madhya Pradesh
156,Kheda,Gujarat
616,Khowai,Tripura
252,Khunti,Jharkhand
446,Khurda,Odisha
216,Kinnaur,Himachal Pradesh
444,Kiphire,Nagaland
76,Kishanganj,Bihar
231,Kishtwar,Jammu and Kashmir
283,Kodagu,Karnataka
241,Koderma,Jharkhand
441,Kohima,Nagaland
61,Kokrajhar,Assam
277,Kolar,Karnataka
428,Kolasib,Mizoram
371,Kolhapur,Maharashtra
725,Kolkata,West Bengal
298,Kollam,Kerala
124,Kondagaon,Chhattisgarh
282,Koppal,Karnataka
451,Koraput,Odisha
125,Korba,Chhattisgarh
126,Koriya,Chhattisgarh
503,Kota,Rajasthan
304,Kottayam,Kerala
780,Kovilpatti,Tamil Nadu
305,Kozhikode,Kerala
27,Kra Daadi,Arunachal Pradesh
4,Krishna,Andhra Pradesh
562,Krishnagiri,Tamil Nadu
221,Kulgam,Jammu and Kashmir
211,Kullu,Himachal Pradesh
591,Kumuram Bheem,Telangana
226,Kupwara,Jammu and Kashmir
7,Kurnool,Andhra Pradesh
186,Kurukshetra,Haryana
21,Kurung Kumey,Arunachal Pradesh
667,Kushinagar,Uttar Pradesh
170,Kutch,Gujarat
210,Lahaul Spiti,Himachal Pradesh
63,Lakhimpur,Assam
668,Lakhimpur Kheri,Uttar Pradesh
84,Lakhisarai,Bihar
311,Lakshadweep,Lakshadweep
669,Lalitpur,Uttar Pradesh
244,Latehar,Jharkhand
383,Latur,Maharashtra
432,Lawngtlai,Mizoram
310,Leh,Ladakh
33,Lepa Rada,Arunachal Pradesh
250,Lohardaga,Jharkhand
29,Lohit,Arunachal Pradesh
40,Longding,Arunachal Pradesh
438,Longleng,Nagaland
31,Lower Dibang Valley,Arunachal Pradesh
18,Lower Siang,Arunachal Pradesh
32,Lower Subansiri,Arunachal Pradesh
670,Lucknow,Uttar Pradesh
488,Ludhiana,Punjab
431,Lunglei,Mizoram
70,Madhepura,Bihar
95,Madhubani,Bihar
540,Madurai,Tamil Nadu
592,Mahabubabad,Telangana
593,Mahabubnagar,Telangana
671,Maharajganj,Uttar Pradesh
127,Mahasamund,Chhattisgarh
477,Mahe,Puducherry
206,Mahendragarh,Haryana
183,Mahisagar,Gujarat
672,Mahoba,Uttar Pradesh
673,Mainpuri,Uttar Pradesh
767,Majuli,Assam
302,Malappuram,Kerala
726,Malda,West Bengal
469,Malkangiri,Odisha
427,Mamit,Mizoram
594,Mancherial,Telangana
215,Mandi,Himachal Pradesh
335,Mandla,Madhya Pradesh
319,Mandsaur,Madhya Pradesh
290,Mandya,Karnataka
482,Mansa,Punjab
674,Mathura,Uttar Pradesh
675,Mau,Uttar Pradesh
456,Mayurbhanj,Odisha
595,Medak,Telangana
596,Medchal,Telangana
676,Meerut,Uttar Pradesh
160,Mehsana,Gujarat
677,Mirzapur,Uttar Pradesh
491,Moga,Punjab
437,Mokokchung,Nagaland
439,Mon,Nagaland
678,Moradabad,Uttar Pradesh
171,Morbi,Gujarat
347,Morena,Madhya Pradesh
55,Morigaon,Assam
612,Mulugu,Telangana
395,Mumbai,Maharashtra
128,Mungeli,Chhattisgarh
85,Munger,Bihar
727,Murshidabad,West Bengal
679,Muzaffarnagar,Uttar Pradesh
86,Muzaffarpur,Bihar
266,Mysore,Karnataka
470,Nabarangpur,Odisha
728,Nadia,West Bengal
56,Nagaon,Assam
576,Nagapattinam,Tamil Nadu
597,Nagarkurnool,Telangana
532,Nagaur,Rajasthan
365,Nagpur,Maharashtra
709,Nainital,Uttarakhand
90,Nalanda,Bihar
52,Nalbari,Assam
598,Nalgonda,Telangana
558,Namakkal,Tamil Nadu
36,Namsai,Arunachal Pradesh
382,Nanded,Maharashtra
729,Nandigram HD (East Medinipore),West Bengal
387,Nandurbar,Maharashtra
613,Narayanpet,Telangana
129,Narayanpur,Chhattisgarh
184,Narmada,Gujarat
352,Narsinghpur,Madhya Pradesh
389,Nashik,Maharashtra
164,Navsari,Gujarat
92,Nawada,Bihar
462,Nayagarh,Odisha
323,Neemuch,Madhya Pradesh
140,New Delhi,Delhi
3,Nicobar,Andaman and Nicobar Islands
577,Nilgiris,Tamil Nadu
599,Nirmal,Telangana
600,Nizamabad,Telangana
412,Noney,Manipur
730,North 24 Parganas,West Bengal
146,North Delhi,Delhi
147,North East Delhi,Delhi
423,North Garo Hills,Meghalaya
151,North Goa,Goa
537,North Sikkim,Sikkim
617,North Tripura,Tripura
143,North West Delhi,Delhi
1,North and Middle Andaman,Andaman and Nicobar Islands
465,Nuapada,Odisha
205,Nuh,Haryana
381,Osmanabad,Maharashtra
19,Pakke Kessang,Arunachal Pradesh
261,Pakur,Jharkhand
308,Palakkad,Kerala
246,Palamu,Jharkhand
564,Palani,Tamil Nadu
394,Palghar,Maharashtra
529,Pali,Rajasthan
207,Palwal,Haryana
187,Panchkula,Haryana
185,Panchmahal,Gujarat
195,Panipat,Haryana
326,Panna,Madhya Pradesh
39,Papum Pare,Arunachal Pradesh
573,Paramakudi,Tamil Nadu
385,Parbhani,Maharashtra
731,Paschim Medinipore,West Bengal
161,Patan,Gujarat
300,Pathanamthitta,Kerala
486,Pathankot,Punjab
494,Patiala,Punjab
97,Patna,Bihar
698,Pauri Garhwal,Uttarakhand
601,Peddapalli,Telangana
570,Perambalur,Tamil Nadu
435,Peren,Nagaland
443,Phek,Nagaland
411,Pherzawl,Manipur
680,Pilibhit,Uttar Pradesh
706,Pithoragarh,Uttarakhand
575,Poonamallee,Tamil Nadu
238,Poonch,Jammu and Kashmir
172,Porbandar,Gujarat
12,Prakasam,Andhra Pradesh
522,Pratapgarh,Rajasthan
682,Pratapgarh,Uttar Pradesh
624,Prayagraj,Uttar Pradesh
475,Puducherry,Puducherry
546,Pudukkottai,Tamil Nadu
227,Pulwama,Jammu and Kashmir
363,Pune,Maharashtra
732,Purba Medinipore,West Bengal
463,Puri,Odisha
73,Purnia,Bihar
733,Purulia,West Bengal
681,Raebareli,Uttar Pradesh
284,Raichur,Karnataka
393,Raigad,Maharashtra
130,Raigarh,Chhattisgarh
109,Raipur,Chhattisgarh
359,Raisen,Madhya Pradesh
602,Rajanna Sircilla,Telangana
358,Rajgarh,Madhya Pradesh
173,Rajkot,Gujarat
775,Rajkot Corporation,Gujarat
131,Rajnandgaon,Chhattisgarh
237,Rajouri,Jammu and Kashmir
518,Rajsamand,Rajasthan
292,Ramanagara,Karnataka
567,Ramanathapuram,Tamil Nadu
235,Ramban,Jammu and Kashmir
254,Ramgarh,Jharkhand
683,Rampur,Uttar Pradesh
734,Rampurhat HD (Birbhum),West Bengal
240,Ranchi,Jharkhand
603,Rangareddy,Telangana
781,Ranipet,Tamil Nadu
322,Ratlam,Madhya Pradesh
372,Ratnagiri,Maharashtra
471,Rayagada,Odisha
239,Reasi,Jammu and Kashmir
316,Rewa,Madhya Pradesh
202,Rewari,Haryana
417,Ri-Bhoi,Meghalaya
192,Rohtak,Haryana
81,Rohtas,Bihar
700,Rudraprayag,Uttarakhand
497,Rup Nagar,Punjab
496,SAS Nagar,Punjab
500,SBS Nagar,Punjab
162,Sabarkantha,Gujarat
317,Sagar,Madhya Pradesh
684,Saharanpur,Uttar Pradesh
71,Saharsa,Bihar
260,Sahebganj,Jharkhand
545,Salem,Tamil Nadu
96,Samastipur,Bihar
236,Samba,Jammu and Kashmir
452,Sambalpur,Odisha
685,Sambhal,Uttar Pradesh
604,Sangareddy,Telangana
373,Sangli,Maharashtra
498,Sangrur,Punjab
686,Sant Kabir Nagar,Uttar Pradesh
102,Saran,Bihar
376,Satara,Maharashtra
333,Satna,Madhya Pradesh
534,Sawai Madhopur,Rajasthan
356,Sehore,Madhya Pradesh
403,Senapati,Manipur
349,Seoni,Madhya Pradesh
618,Sepahijala,Tripura
248,Seraikela Kharsawan,Jharkhand
430,Serchhip,Mizoram
148,Shahdara,Delhi
332,Shahdol,Madhya Pradesh
688,Shahjahanpur,Uttar Pradesh
321,Shajapur,Madhya Pradesh
689,Shamli,Uttar Pradesh
93,Sheikhpura,Bihar
87,Sheohar,Bihar
346,Sheopur,Madhya Pradesh
35,Shi Yomi,Arunachal Pradesh
208,Shimla,Himachal Pradesh
287,Shimoga,Karnataka
345,Shivpuri,Madhya Pradesh
222,Shopian,Jammu and Kashmir
690,Shravasti,Uttar Pradesh
433,Siaha,Mizoram
37,Siang,Arunachal Pradesh
691,Siddharthnagar,Uttar Pradesh
605,Siddipet,Telangana
331,Sidhi,Madhya Pradesh
513,Sikar,Rajasthan
249,Simdega,Jharkhand
374,Sindhudurg,Maharashtra
330,Singrauli,Madhya Pradesh
212,Sirmaur,Himachal Pradesh
531,Sirohi,Rajasthan
194,Sirsa,Haryana
88,Sitamarhi,Bihar
692,Sitapur,Uttar Pradesh
561,Sivaganga,Tamil Nadu
580,Sivakasi,Tamil Nadu
44,Sivasagar,Assam
103,Siwan,Bihar
209,Solan,Himachal Pradesh
375,Solapur,Maharashtra
693,Sonbhadra,Uttar Pradesh
198,Sonipat,Haryana
64,Sonitpur,Assam
735,South 24 Parganas,West Bengal
2,South Andaman,Andaman and Nicobar Islands
149,South Delhi,Delhi
144,South East Delhi,Delhi
421,South Garo Hills,Meghalaya
152,South Goa,Goa
768,South Salmara Mankachar,Assam
538,South Sikkim,Sikkim
619,South Tripura,Tripura
150,South West Delhi,Delhi
422,South West Garo Hills,Meghalaya
415,South West Khasi Hills,Meghalaya
509,Sri Ganganagar,Rajasthan
490,Sri Muktsar Sahib,Punjab
13,Sri Potti Sriramulu Nellore,Andhra Pradesh
14,Srikakulam,Andhra Pradesh
220,Srinagar,Jammu and Kashmir
466,Subarnapur,Odisha
132,Sukma,Chhattisgarh
694,Sultanpur,Uttar Pradesh
453,Sundargarh,Odisha
72,Supaul,Bihar
133,Surajpur,Chhattisgarh
165,Surat,Gujarat
776,Surat Corporation,Gujarat
157,Surendranagar,Gujarat
134,Surguja,Chhattisgarh
606,Suryapet,Telangana
404,Tamenglong,Manipur
166,Tapi,Gujarat
495,Tarn Taran,Punjab
30,Tawang,Arunachal Pradesh
701,Tehri Garhwal,Uttarakhand
407,Tengnoupal,Manipur
551,Tenkasi,Tamil Nadu
392,Thane,Maharashtra
541,Thanjavur,Tamil Nadu
569,Theni,Tamil Nadu
296,Thiruvananthapuram,Kerala
554,Thoothukudi (Tuticorin),Tamil Nadu
405,Thoubal,Manipur
303,Thrissur,Kerala
325,Tikamgarh,Madhya Pradesh
45,Tinsukia,Assam
26,Tirap,Arunachal Pradesh
560,Tiruchirappalli,Tamil Nadu
548,Tirunelveli,Tamil Nadu
550,Tirupattur,Tamil Nadu
568,Tiruppur,Tamil Nadu
572,Tiruvallur,Tamil Nadu
553,Tiruvannamalai,Tamil Nadu
574,Tiruvarur,Tamil Nadu
526,Tonk,Rajasthan
440,Tuensang,Nagaland
288,Tumkur,Karnataka
504,Udaipur,Rajasthan
65,Udalguri,Assam
705,Udham Singh Nagar,Uttarakhand
233,Udhampur,Jammu and Kashmir
286,Udupi,Karnataka
318,Ujjain,Madhya Pradesh
406,Ukhrul,Manipur
329,Umaria,Madhya Pradesh
218,Una,Himachal Pradesh
620,Unakoti,Tripura
695,Unnao,Uttar Pradesh
34,Upper Siang,Arunachal Pradesh
41,Upper Subansiri,Arunachal Pradesh
736,Uttar Dinajpur,West Bengal
281,Uttar Kannada,Karnataka
703,Uttarkashi,Uttarakhand
155,Vadodara,Gujarat
777,Vadodara Corporation,Gujarat
89,Vaishali,Bihar
167,Valsad,Gujarat
696,Varanasi,Uttar Pradesh
543,Vellore,Tamil Nadu
355,Vidisha,Madhya Pradesh
293,Vijayapura,Karnataka
607,Vikarabad,Telangana
542,Viluppuram,Tamil Nadu
549,Virudhunagar,Tamil Nadu
8,Visakhapatnam,Andhra Pradesh
15,Vizianagaram,Andhra Pradesh
608,Wanaparthy,Telangana
609,Warangal(Rural),Telangana
610,Warangal(Urban),Telangana
377,Wardha,Maharashtra
369,Washim,Maharashtra
299,Wayanad,Kerala
737,West Bardhaman,West Bengal
106,West Champaran,Bihar
142,West Delhi,Delhi
420,West Garo Hills,Meghalaya
16,West Godavari,Andhra Pradesh
416,West Jaintia Hills,Meghalaya
28,West Kameng,Arunachal Pradesh
769,West Karbi Anglong,Assam
419,West Khasi Hills,Meghalaya
38,West Siang,Arunachal Pradesh
536,West Sikkim,Sikkim
263,West Singhbhum,Jharkhand
621,West Tripura,Tripura
436,Wokha,Nagaland
6,"YSR District, Kadapa (Cuddapah)",Andhra Pradesh
611,Yadadri Bhuvanagiri,Telangana
285,Yadgir,Karnataka
197,Yamunanagar,Haryana
478,Yanam,Puducherry
368,Yavatmal,Maharashtra
442,Zunheboto,Nagaland
